"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"30","ENSMUSG00000068196",1508.34931201751,6.95094474031718,0.31725631046836,21.9095554949108,2.10627751223869e-106,1.21665610031948e-103
"31","ENSMUSG00000002944",11218.8358769603,-5.21825548015405,0.239262059268482,-21.8097908883185,1.87330405959265e-105,1.04717696931229e-102
"32","ENSMUSG00000026417",9138.8092693273,-5.21161368511056,0.239468536724752,-21.7632502223073,5.17474587710596e-105,2.80228660326154e-102
"33","ENSMUSG00000022885",1838.50411927114,-3.62286533049254,0.166820809407634,-21.7171067767685,1.41408897615333e-104,7.4256811720488e-102
"34","ENSMUSG00000064246",1348.19458123528,4.0394405009417,0.188808349374507,21.3943955038204,1.50669968915001e-101,7.67929379802367e-99
"35","ENSMUSG00000017057",2025.62738584265,3.34177887473899,0.158992215928132,21.0185061905769,4.44194484477004e-98,2.19927034900057e-95
"36","ENSMUSG00000024827",1160.31602753162,-6.40197662873762,0.306596189695513,-20.8808094943892,8.0024603301539e-97,3.85207319614547e-94
"37","ENSMUSG00000019987",1241.14587714254,4.77326062534945,0.232593749115306,20.5218783544486,1.37303636515383e-93,6.43063437074344e-91
"38","ENSMUSG00000025608",6572.20772585159,2.42993884038535,0.118467517213056,20.5114355187782,1.70196470424563e-93,7.76140693680858e-91
"39","ENSMUSG00000005268",14948.2977758785,3.43052318966978,0.167831539239974,20.4402772280164,7.33215215822448e-93,3.25791960897108e-90
"40","ENSMUSG00000027186",11048.308962498,-2.57161326888953,0.125870588755988,-20.4306128564699,8.93731760281928e-93,3.87186941848138e-90
"41","ENSMUSG00000035451",1737.65815922596,3.55955620543772,0.174271724918578,20.4253226224781,9.95984961574493e-93,4.20961546320107e-90
"42","ENSMUSG00000032554",368398.484591429,-2.49581505864275,0.123909983149909,-20.1421628443226,3.15263904312457e-90,1.30076385662633e-87
"43","ENSMUSG00000054889",2880.58021045434,3.59656275963393,0.178707427292322,20.1254240751327,4.41974560910054e-90,1.78115748046752e-87
"44","ENSMUSG00000041577",897.224121786487,4.74550342801184,0.236185409941739,20.0922801674432,8.62106175346494e-90,3.3953267983135e-87
"45","ENSMUSG00000029378",6890.51496105628,5.74293985353839,0.288040271352909,19.9379754315746,1.90625102355815e-88,7.34076088605317e-86
"46","ENSMUSG00000033022",2580.26200718935,4.69353539977265,0.236409082748848,19.853447867563,1.0289272798143e-87,3.87614800693523e-85
"47","ENSMUSG00000037973",1973.76177256948,5.18877805236342,0.264448012095994,19.6211648983011,1.01989117344599e-85,3.76036045630755e-83
"48","ENSMUSG00000075010",748.395252109383,4.50519090947289,0.230510655886467,19.5443932608991,4.60433443797024e-85,1.66226065574138e-82
"49","ENSMUSG00000024661",89958.468525612,-2.89153503810894,0.14866843233832,-19.4495562550143,2.93963870419701e-84,1.03961222663327e-81
"50","ENSMUSG00000046410",718.226040856857,-4.50111916767177,0.231448875591239,-19.4475741399633,3.05548202260489e-84,1.0589689593944e-81
"51","ENSMUSG00000050808",29329.050790564,-2.53852643072343,0.130756840211518,-19.4141004525423,5.86541265520489e-84,1.9929752137656e-81
"52","ENSMUSG00000041482",870.909946005713,6.28341846437521,0.323767943035742,19.4071667672224,6.71279497546483e-84,2.23703892557365e-81
"53","ENSMUSG00000063354",1128.86601551346,-3.30878108324366,0.171515033535307,-19.2914930839723,6.33180437366235e-83,2.07026109417349e-80
"54","ENSMUSG00000020902",2380.98027286899,3.80786127118163,0.198134889345831,19.2185297791509,2.59005360084301e-82,8.31167386092751e-80
"55","ENSMUSG00000066877",2586.29991221876,2.58041316119368,0.13449608200443,19.1857868477439,4.86520847618133e-82,1.53289450334084e-79
"56","ENSMUSG00000025854",2363.25255891556,-3.05954491438842,0.160041966664424,-19.1171414483031,1.81802262800609e-81,5.62580609298528e-79
"57","ENSMUSG00000090231",1837.62779228869,-3.48926900906799,0.182773578782713,-19.0906641556553,3.01906607558232e-81,9.17849053048526e-79
"58","ENSMUSG00000031936",1191.23145926347,-8.61616628344452,0.451845522360236,-19.0688318397791,4.58431496580285e-81,1.36968265590341e-78
"59","ENSMUSG00000024774",520.546419706116,-5.90524326005944,0.311657127742594,-18.9478844999712,4.59695476767141e-80,1.3501801554064e-77
"60","ENSMUSG00000034127",617.519686418091,5.08109568188336,0.269896096599736,18.8261177019495,4.61369994240331e-79,1.33251343836511e-76
"61","ENSMUSG00000038765",783.315148489084,3.87797195975059,0.206096074823124,18.8163309906739,5.54970682323048e-79,1.57657163179936e-76
"62","ENSMUSG00000001622",179687.100288059,-2.8246535789569,0.150753934551797,-18.7368481449908,2.47882879428091e-78,6.92832648001514e-76
"63","ENSMUSG00000024743",1037.29025138856,5.13868699680666,0.275161600685839,18.6751602839877,7.88528805023982e-78,2.16895486702549e-75
"64","ENSMUSG00000026664",1910.99952272378,2.84881120757326,0.152912227864863,18.6303688550723,1.82263882964611e-77,4.93507941858398e-75
"65","ENSMUSG00000029802",3193.59598848528,-3.88050419435881,0.209272305355978,-18.5428463061941,9.31582591335451e-77,2.48359918850031e-74
"66","ENSMUSG00000018604",571.91287085974,4.55876815750054,0.247093894579701,18.4495378376502,5.25929300395687e-76,1.38088315856922e-73
"67","ENSMUSG00000006360",1896.6806740471,3.31601505280882,0.180562783695651,18.3648866335498,2.50973270477959e-75,6.49121761807842e-73
"68","ENSMUSG00000025153",28832.0945206686,-2.80054857572934,0.152943460134928,-18.3110057354442,6.76094224343248e-75,1.72294659024179e-72
"69","ENSMUSG00000042379",713.893630358425,3.75520957341367,0.206175489992972,18.2136565968228,4.0216750422074e-74,1.01002328704945e-71
"70","ENSMUSG00000025059",3509.32061431988,-2.46903417067917,0.138748704125441,-17.7950070686566,7.72576355534236e-71,1.9125679521504e-68
"71","ENSMUSG00000028211",3972.08534526351,2.4511732943675,0.138116325134313,17.7471656010527,1.81275127139449e-70,4.42438968760495e-68
"72","ENSMUSG00000044217",896.373784919095,4.27884911365212,0.242132502881721,17.6715189523411,6.95000849856916e-70,1.67273190655146e-67
"73","ENSMUSG00000046782",479.199983624766,5.31946644293701,0.304887751873232,17.4472946527179,3.60927350602088e-68,8.5678219980597e-66
"74","ENSMUSG00000044165",999.179168471446,-3.82218599589048,0.221216084391424,-17.2780655005512,6.88177229360108e-67,1.61154367670018e-64
"75","ENSMUSG00000020865",529.905119083978,5.22497373673384,0.30523784863324,17.1177124990549,1.09494179087788e-65,2.52989950588305e-63
"76","ENSMUSG00000105703",8884.31651022913,3.45932702511493,0.204223295683077,16.9389442744244,2.32255373282715e-64,5.29572811002127e-62
"77","ENSMUSG00000010663",9722.54042333114,-1.92658837548994,0.113821032183977,-16.926470780689,2.8708522824692e-64,6.46090898739075e-62
"78","ENSMUSG00000022540",1969.17441559739,-2.46113885249975,0.145496188444951,-16.915486782191,3.45946388856014e-64,7.68577560575112e-62
"79","ENSMUSG00000115388",1075.17404739529,3.57769554404156,0.211657671798784,16.9032169428886,4.26017098602214e-64,9.3448737995921e-62
"80","ENSMUSG00000031133",963.137617863452,4.19096619677527,0.24860736352047,16.8577717788725,9.19922950666413e-64,1.99266810151228e-61
"81","ENSMUSG00000042961",444.959304535839,5.05158262209827,0.301004974321263,16.7823891730995,3.28355510052868e-63,7.02478102926686e-61
"82","ENSMUSG00000022240",445.036941506546,6.40060795511796,0.38275719268725,16.7223714600391,9.00629534537477e-63,1.90329380536585e-60
"83","ENSMUSG00000026764",633.124485831027,6.07118294620268,0.365051352972042,16.6310380629315,4.15335667436137e-62,8.6715081698805e-60
"84","ENSMUSG00000039316",1017.32148611699,3.88526060159843,0.23424928183065,16.5860085940723,8.79762453609863e-62,1.81492899507206e-59
"85","ENSMUSG00000026818",7685.11076553908,-2.88538711359591,0.174047072385397,-16.5781996447876,1.00185474263903e-61,2.04248715708137e-59
"86","ENSMUSG00000038775",1419.69291855512,3.61956141510702,0.21853618265527,16.5627557465699,1.29523369764202e-61,2.60989590074867e-59
"87","ENSMUSG00000046447",540.497859368221,3.95946542059323,0.240008028938852,16.4972206892379,3.84172308066001e-61,7.65209416836292e-59
"88","ENSMUSG00000031089",661.470170667585,-3.68600231860978,0.22362010699706,-16.4833223993505,4.8353053880921e-61,9.52170534889182e-59
"89","ENSMUSG00000070803",1179.08326803997,-2.89470221447848,0.175950047713746,-16.4518410315403,8.13571930676087e-61,1.58408853782988e-58
"90","ENSMUSG00000022661",1078.89324258786,3.13099784240534,0.191058162734622,16.3876685381628,2.34258601908073e-60,4.51051923607221e-58
"91","ENSMUSG00000038481",1870.02115113936,2.51013380304298,0.153182828760631,16.3865220622438,2.3871789572435e-60,4.54587078572227e-58
"92","ENSMUSG00000040520",426.852086972872,3.77474974186991,0.231533932135712,16.303224788915,9.36195832541047e-60,1.76340625892433e-57
"93","ENSMUSG00000017607",687.239136414062,3.88099584436494,0.238105275020207,16.2994954397191,9.95101982279811e-60,1.85420669364805e-57
"94","ENSMUSG00000022032",1403.74502459337,5.15117120179384,0.317379035225765,16.2303448875557,3.0772555000343e-59,5.67295325107388e-57
"95","ENSMUSG00000019929",3142.95644755305,5.08823191310947,0.313754189898985,16.2172556635742,3.80834936764726e-59,6.94683012546941e-57
"96","ENSMUSG00000029188",1112.08495617081,-2.86595635698851,0.177714296684089,-16.1267630711959,1.654686337344e-58,2.98688120206607e-56
"97","ENSMUSG00000029304",115817.06464844,-3.07030919856442,0.191040339300783,-16.0715229558423,4.04036587887289e-58,7.21809281597817e-56
"98","ENSMUSG00000021748",4357.23078116593,-1.98696878107025,0.123808432283413,-16.0487354893714,5.83405907819558e-58,1.0316164261842e-55
"99","ENSMUSG00000029322",521.099337868302,5.66532332589028,0.353631484514321,16.0204155285298,9.20331965190046e-58,1.61095279038165e-55
"100","ENSMUSG00000030878",558.222396703253,4.06167498051418,0.254015386569285,15.9898777604416,1.50325686469638e-57,2.60499382083235e-55
